('Степанова Е.Ж.', 'Лебедев П.У.', 'Ижевск', 'Соловьёв Ц.П.')
('Андреева Э.П.', 'Егорова Н.К.', 'Ижевск', 'Лебедев Ч.Ж.')
('Григорьева Я.Г.', 'Григорьева Ц.Д.', 'Москва', 'Семёнова Ч.Э.')
('Григорьева Я.Г.', 'Павлова З.Ч.', 'Москва', 'Семёнова Ч.Э.')
('Попов С.А.', 'Семёнова С.Т.', 'Барнаул', 'Соловьёв Ц.П.')
('Николаев Ш.А.', 'Михайлов Т.Я.', 'Краснодар', 'Михайлова Р.А.')
('Николаев Ш.А.', 'Николаев О.У.', 'Краснодар', 'Михайлова Р.А.')
('Степанов Л.З.', 'Волкова Р.И.', 'Ижевск', 'Яковлев Ю.А.')
('Степанов Л.З.', 'Кузнецова Л.Л.', 'Ижевск', 'Яковлев Ю.А.')
('Петрова З.В.', 'Егорова Щ.Ч.', 'Севастополь', 'Дмитриев Л.В.')
('Никитина Н.К.', 'Павлова О.Т.', 'Санкт-Петербург', 'Яковлев Ю.А.')
('Никитина Н.К.', 'Яковлева Х.Д.', 'Санкт-Петербург', 'Яковлев Ю.А.')
('Богданов У.М.', 'Кузнецова Ю.Д.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Богданов У.М.', 'Лебедев Х.Е.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Богданов У.М.', 'Петрова Л.Ю.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Богданов У.М.', 'Семёнов Л.И.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Михайлова Э.С.', 'Васильев Т.Г.', 'Иркутск', 'Михайлова Р.А.')
('Павлов Л.Р.', 'Андреев И.С.', 'Москва', 'Яковлев Щ.Р.')
('Павлов Л.Р.', 'Григорьева З.В.', 'Москва', 'Яковлев Щ.Р.')
('Соколова Ч.Б.', 'Соловьёв Ц.Г.', 'Краснодар', 'Семёнова Ч.Э.')
('Попова Ц.Ж.', 'Петров Ю.Т.', 'Иркутск', 'Александров Щ.Ю.')
('Попова Ц.Ж.', 'Соловьёва Б.Щ.', 'Иркутск', 'Александров Щ.Ю.')
('Семёнов У.А.', 'Александров Ц.Ж.', 'Краснодар', 'Дмитриев Л.В.')
('Семёнов У.А.', 'Попова Я.З.', 'Краснодар', 'Дмитриев Л.В.')
('Семёнов У.А.', 'Яковлева З.З.', 'Краснодар', 'Дмитриев Л.В.')
('Соколова Ф.Х.', 'Васильев Ц.Э.', 'Барнаул', 'Александров Щ.Ю.')
('Павлов Д.Х.', 'Васильев Н.Ю.', 'Барнаул', 'Семёнова Ч.Э.')
('Павлов Д.Х.', 'Егорова П.А.', 'Барнаул', 'Семёнова Ч.Э.')
('Павлов Д.Х.', 'Степанова Ш.О.', 'Барнаул', 'Семёнова Ч.Э.')
('Павлов Д.Х.', 'Фёдорова К.Х.', 'Барнаул', 'Семёнова Ч.Э.')
('Дмитриева Ф.Ш.', 'Григорьев Т.Я.', 'Ялта', 'Алексеев Х.В.')
('Дмитриева Ф.Ш.', 'Кузнецова Ц.Э.', 'Ялта', 'Алексеев Х.В.')
('Николаев Л.И.', 'Дмитриев П.Ж.', 'Ярославль', 'Павлов Ю.Ю.')
('Николаев Л.И.', 'Яковлев Э.М.', 'Ярославль', 'Павлов Ю.Ю.')
('Григорьев Л.Ж.', 'Николаева Б.Э.', 'Архангельск', 'Алексеев Х.В.')
('Григорьев Л.Ж.', 'Степанов Ю.Г.', 'Архангельск', 'Алексеев Х.В.')
('Смирнов Т.Т.', 'Александров У.Х.', 'Иркутск', 'Семёнова Ч.Э.')
('Смирнов Т.Т.', 'Кузнецов Н.Ч.', 'Иркутск', 'Семёнова Ч.Э.')
('Кузнецов Д.С.', 'Андреев Р.Т.', 'Омск', 'Павлов Ю.Ю.')
('Кузнецов Д.С.', 'Дмитриева Ф.Я.', 'Омск', 'Павлов Ю.Ю.')
('Егоров З.И.', 'Андреева Ц.Х.', 'Сочи', 'Васильева К.И.')
('Егоров З.И.', 'Кузнецов Р.С.', 'Сочи', 'Васильева К.И.')
('Егоров З.И.', 'Соколов У.Ф.', 'Сочи', 'Васильева К.И.')
('Егоров З.И.', 'Соловьёв Д.Ф.', 'Сочи', 'Васильева К.И.')
('Егоров З.И.', 'Степанов Д.Ч.', 'Сочи', 'Васильева К.И.')
('Кузнецова П.Я.', 'Богданов Щ.Б.', 'Барнаул', 'Егоров Л.Б.')
('Соколов Р.Ш.', 'Егоров Щ.Ч.', 'Ярославль', 'Степанова Д.К.')
('Соколов Р.Ш.', 'Соколов З.Ю.', 'Ярославль', 'Степанова Д.К.')
('Смирнова Ю.Ч.', 'Васильева С.Ц.', 'Мурманск', 'Васильева К.И.')
('Смирнова Ю.Ч.', 'Кузнецов С.Ю.', 'Мурманск', 'Васильева К.И.')
('Смирнова Ю.Ч.', 'Соловьёва Р.Ч.', 'Мурманск', 'Васильева К.И.')
('Лебедев Х.Е.', 'Кузнецова Ю.Д.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Лебедев Х.Е.', 'Петрова Л.Ю.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Лебедев Х.Е.', 'Семёнов Л.И.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Семёнова Ш.И.', 'Алексеева Г.К.', 'Архангельск', 'Павлов Ю.Ю.')
('Андреев И.С.', 'Григорьева З.В.', 'Москва', 'Яковлев Щ.Р.')
('Александров У.Х.', 'Кузнецов Н.Ч.', 'Иркутск', 'Семёнова Ч.Э.')
('Александров Э.А.', 'Петров Ц.Е.', 'Севастополь', 'Алексеева В.Ш.')
('Кузнецова Щ.К.', 'Александрова Б.Ф.', 'Архангельск', 'Александров Щ.Ю.')
('Кузнецова Щ.К.', 'Васильев Е.З.', 'Архангельск', 'Александров Щ.Ю.')
('Кузнецова Щ.К.', 'Григорьев О.К.', 'Архангельск', 'Александров Щ.Ю.')
('Кузнецова Щ.К.', 'Иванова З.Э.', 'Архангельск', 'Александров Щ.Ю.')
('Фёдоров Щ.Б.', 'Александрова Ж.Ч.', 'Барнаул', 'Яковлев Щ.Р.')
('Фёдоров Щ.Б.', 'Семёнов У.Х.', 'Барнаул', 'Яковлев Щ.Р.')
('Иванова Ж.У.', 'Дмитриев Ф.У.', 'Ижевск', 'Васильева К.И.')
('Иванова Ж.У.', 'Лебедев Г.К.', 'Ижевск', 'Васильева К.И.')
('Соловьёва П.З.', 'Богданова Д.Ж.', 'Краснодар', 'Васильева К.И.')
('Соловьёва П.З.', 'Петрова Г.Я.', 'Краснодар', 'Васильева К.И.')
('Соловьёва П.З.', 'Смирнова М.В.', 'Краснодар', 'Васильева К.И.')
('Васильев Е.З.', 'Александрова Б.Ф.', 'Архангельск', 'Александров Щ.Ю.')
('Васильев Е.З.', 'Григорьев О.К.', 'Архангельск', 'Александров Щ.Ю.')
('Васильев Е.З.', 'Иванова З.Э.', 'Архангельск', 'Александров Щ.Ю.')
('Григорьева У.Т.', 'Александров П.В.', 'Ярославль', 'Алексеева В.Ш.')
('Григорьева У.Т.', 'Степанов К.Н.', 'Ярославль', 'Алексеева В.Ш.')
('Николаева Д.В.', 'Иванова Х.Ц.', 'Барнаул', 'Алексеева В.Ш.')
('Степанова Э.Р.', 'Волкова Щ.Ч.', 'Ярославль', 'Васильева К.И.')
('Степанова Э.Р.', 'Михайлова М.Х.', 'Ярославль', 'Васильева К.И.')
('Степанова Э.Р.', 'Семёнов М.Ж.', 'Ярославль', 'Васильева К.И.')
('Степанова Э.Р.', 'Соколов Л.Г.', 'Ярославль', 'Васильева К.И.')
('Васильев Н.Ю.', 'Егорова П.А.', 'Барнаул', 'Семёнова Ч.Э.')
('Васильев Н.Ю.', 'Степанова Ш.О.', 'Барнаул', 'Семёнова Ч.Э.')
('Васильев Н.Ю.', 'Фёдорова К.Х.', 'Барнаул', 'Семёнова Ч.Э.')
('Волкова К.Ж.', 'Попов Е.Ч.', 'Сочи', 'Алексеев Х.В.')
('Волкова К.Ж.', 'Яковлев У.Ц.', 'Сочи', 'Алексеев Х.В.')
('Яковлев Б.Р.', 'Павлова Щ.В.', 'Ялта', 'Соловьёв Ц.П.')
('Александрова Ю.Б.', 'Дмитриев Ч.А.', 'Иркутск', 'Николаева Щ.Э.')
('Александрова Ю.Б.', 'Соловьёва И.Д.', 'Иркутск', 'Николаева Щ.Э.')
('Яковлев Э.М.', 'Дмитриев П.Ж.', 'Ярославль', 'Павлов Ю.Ю.')
('Соколов У.Ф.', 'Андреева Ц.Х.', 'Сочи', 'Васильева К.И.')
('Соколов У.Ф.', 'Кузнецов Р.С.', 'Сочи', 'Васильева К.И.')
('Соколов У.Ф.', 'Соловьёв Д.Ф.', 'Сочи', 'Васильева К.И.')
('Соколов У.Ф.', 'Степанов Д.Ч.', 'Сочи', 'Васильева К.И.')
('Лебедев Ю.Н.', 'Богданова И.Б.', 'Омск', 'Николаева Щ.Э.')
('Степанова Г.И.', 'Николаева Щ.Ф.', 'Мурманск', 'Степанова Х.Р.')
('Степанова Г.И.', 'Степанова Б.З.', 'Мурманск', 'Степанова Х.Р.')
('Соколов З.Ю.', 'Егоров Щ.Ч.', 'Ярославль', 'Степанова Д.К.')
('Соколова Щ.А.', 'Никитина Т.Д.', 'Ярославль', 'Степанова Х.Р.')
('Соколова Щ.А.', 'Смирнова В.Д.', 'Ярославль', 'Степанова Х.Р.')
('Лебедева У.Л.', 'Волкова Ю.Р.', 'Сочи', 'Павлов Ю.Ю.')
('Лебедева У.Л.', 'Павлова Д.Х.', 'Сочи', 'Павлов Ю.Ю.')
('Лебедева У.Л.', 'Павлова Я.З.', 'Сочи', 'Павлов Ю.Ю.')
('Богданова И.Ж.', 'Кузнецова К.Ж.', 'Севастополь', 'Григорьева Б.С.')
('Смирнов С.Щ.', 'Никитин Ч.Л.', 'Барнаул', 'Александрова П.П.')
('Павлова Ж.Ж.', 'Михайлова Н.К.', 'Ижевск', 'Александров Щ.Ю.')
('Егоров Д.Е.', 'Иванов Ф.И.', 'Архангельск', 'Семёнова Ч.Э.')
('Павлова М.З.', 'Дмитриева Ш.Л.', 'Иркутск', 'Егорова Я.У.')
('Павлова М.З.', 'Петрова Э.П.', 'Иркутск', 'Егорова Я.У.')
('Семёнов Л.И.', 'Кузнецова Ю.Д.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Семёнов Л.И.', 'Петрова Л.Ю.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Лебедев П.Д.', 'Васильева У.М.', 'Иркутск', 'Соловьёв Ц.П.')
('Лебедев П.Д.', 'Кузнецов Д.Р.', 'Иркутск', 'Соловьёв Ц.П.')
('Петрова Ч.З.', 'Семёнов П.А.', 'Севастополь', 'Михайлова Р.А.')
('Егорова Т.Ф.', 'Михайлов Ч.Е.', 'Мурманск', 'Михайлова Р.А.')
('Егорова Т.Ф.', 'Николаева Б.М.', 'Мурманск', 'Михайлова Р.А.')
('Иванова Д.Х.', 'Васильева У.Л.', 'Москва', 'Яковлев Ю.А.')
('Фёдорова К.Х.', 'Егорова П.А.', 'Барнаул', 'Семёнова Ч.Э.')
('Фёдорова К.Х.', 'Степанова Ш.О.', 'Барнаул', 'Семёнова Ч.Э.')
('Богданова У.К.', 'Егорова Б.И.', 'Санкт-Петербург', 'Николаева Ц.Ф.')
('Богданова У.К.', 'Николаев В.Я.', 'Санкт-Петербург', 'Николаева Ц.Ф.')
('Лебедева Э.В.', 'Дмитриева З.П.', 'Барнаул', 'Егорова Я.У.')
('Лебедева Э.В.', 'Семёнова Е.Ю.', 'Барнаул', 'Егорова Я.У.')
('Кузнецов Щ.Ц.', 'Михайлова Н.Ф.', 'Сочи', 'Егоров Л.Б.')
('Кузнецов Щ.Ц.', 'Петров Е.П.', 'Сочи', 'Егоров Л.Б.')
('Кузнецов Щ.Ц.', 'Яковлев Я.Ц.', 'Сочи', 'Егоров Л.Б.')
('Андреева Г.Ж.', 'Дмитриева С.С.', 'Севастополь', 'Яковлев Ю.А.')
('Андреева Г.Ж.', 'Михайлов Г.Д.', 'Севастополь', 'Яковлев Ю.А.')
('Андреева Г.Ж.', 'Степанова Ж.Н.', 'Севастополь', 'Яковлев Ю.А.')
('Соколова Х.У.', 'Александров К.Т.', 'Ялта', 'Лебедев Ч.Ж.')
('Соколова Х.У.', 'Никитин Ж.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Соколова Х.У.', 'Степанов Э.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Соколова Х.У.', 'Яковлева Г.Ю.', 'Ялта', 'Лебедев Ч.Ж.')
('Васильев Щ.З.', 'Григорьева Ч.Э.', 'Мурманск', 'Григорьева Б.С.')
('Васильев Щ.З.', 'Павлов П.Т.', 'Мурманск', 'Григорьева Б.С.')
('Александрова Б.Ш.', 'Кузнецов К.Ж.', 'Москва', 'Алексеева В.Ш.')
('Кузнецова Ш.Ж.', 'Егоров Ж.З.', 'Севастополь', 'Степанова Х.Р.')
('Кузнецова Ш.Ж.', 'Соколов Ч.Я.', 'Севастополь', 'Степанова Х.Р.')
('Кузнецова Ш.Ж.', 'Фёдорова Е.К.', 'Севастополь', 'Степанова Х.Р.')
('Андреева Я.Л.', 'Лебедева Х.Р.', 'Москва', 'Дмитриев Л.В.')
('Андреева Я.Л.', 'Никитин Л.Х.', 'Москва', 'Дмитриев Л.В.')
('Андреева Я.Л.', 'Степанов Ю.А.', 'Москва', 'Дмитриев Л.В.')
('Попов Д.Т.', 'Дмитриева К.Ч.', 'Омск', 'Лебедев Ч.Ж.')
('Иванов П.Л.', 'Богданов Д.Я.', 'Омск', 'Николаева Ц.Ф.')
('Иванов П.Л.', 'Кузнецов О.Ж.', 'Омск', 'Николаева Ц.Ф.')
('Яковлев У.Ц.', 'Попов Е.Ч.', 'Сочи', 'Алексеев Х.В.')
('Васильев Х.М.', 'Николаев Е.А.', 'Иркутск', 'Александрова П.П.')
('Михайлов У.Е.', 'Соловьёв Э.Э.', 'Иркутск', 'Егоров Л.Б.')
('Яковлев Я.Ц.', 'Михайлова Н.Ф.', 'Сочи', 'Егоров Л.Б.')
('Яковлев Я.Ц.', 'Петров Е.П.', 'Сочи', 'Егоров Л.Б.')
('Васильев Ш.Е.', 'Алексеев Е.К.', 'Севастополь', 'Яковлев Щ.Р.')
('Васильев Ш.Е.', 'Богданова Б.Щ.', 'Севастополь', 'Яковлев Щ.Р.')
('Дмитриева З.П.', 'Семёнова Е.Ю.', 'Барнаул', 'Егорова Я.У.')
('Степанов М.З.', 'Павлова Ш.Т.', 'Краснодар', 'Яковлев Щ.Р.')
('Григорьева Т.П.', 'Петров З.З.', 'Санкт-Петербург', 'Григорьева Б.С.')
('Григорьева Т.П.', 'Яковлева Р.М.', 'Санкт-Петербург', 'Григорьева Б.С.')
('Павлова Я.З.', 'Волкова Ю.Р.', 'Сочи', 'Павлов Ю.Ю.')
('Павлова Я.З.', 'Павлова Д.Х.', 'Сочи', 'Павлов Ю.Ю.')
('Лебедев Д.Т.', 'Васильева О.К.', 'Санкт-Петербург', 'Степанова Д.К.')
('Лебедев Д.Т.', 'Васильева Э.М.', 'Санкт-Петербург', 'Степанова Д.К.')
('Николаев О.У.', 'Михайлов Т.Я.', 'Краснодар', 'Михайлова Р.А.')
('Семёнов У.Х.', 'Александрова Ж.Ч.', 'Барнаул', 'Яковлев Щ.Р.')
('Кузнецов Д.Р.', 'Васильева У.М.', 'Иркутск', 'Соловьёв Ц.П.')
('Семёнова Щ.Щ.', 'Фёдорова М.К.', 'Ялта', 'Семёнова Ч.Э.')
('Фёдорова П.О.', 'Васильева Т.Е.', 'Ижевск', 'Александрова П.П.')
('Фёдорова П.О.', 'Павлова Р.Я.', 'Ижевск', 'Александрова П.П.')
('Фёдорова П.О.', 'Петров Д.Е.', 'Ижевск', 'Александрова П.П.')
('Михайлова Э.У.', 'Алексеев Д.Ч.', 'Ярославль', 'Соловьёв Ц.П.')
('Михайлова Э.У.', 'Григорьев Ц.Л.', 'Ярославль', 'Соловьёв Ц.П.')
('Михайлова Э.У.', 'Дмитриев Ю.Е.', 'Ярославль', 'Соловьёв Ц.П.')
('Иванова Ч.Э.', 'Яковлев Ф.В.', 'Мурманск', 'Алексеева В.Ш.')
('Николаева Х.Х.', 'Лебедева П.Х.', 'Ярославль', 'Яковлев Ю.А.')
('Николаева Х.Х.', 'Петров Ф.Ш.', 'Ярославль', 'Яковлев Ю.А.')
('Николаева Х.Х.', 'Фёдорова Ю.Д.', 'Ярославль', 'Яковлев Ю.А.')
('Николаева Х.Х.', 'Яковлева Я.К.', 'Ярославль', 'Яковлев Ю.А.')
('Лебедева Р.Д.', 'Лебедева П.Г.', 'Ижевск', 'Егорова Я.У.')
('Волкова З.Х.', 'Николаев Г.Е.', 'Краснодар', 'Алексеев Х.В.')
('Волкова З.Х.', 'Соколов Э.Б.', 'Краснодар', 'Алексеев Х.В.')
('Соколова К.Ш.', 'Васильева Э.Л.', 'Краснодар', 'Лебедев Ч.Ж.')
('Соколова К.Ш.', 'Фёдорова А.Ю.', 'Краснодар', 'Лебедев Ч.Ж.')
('Соколов Ч.Я.', 'Егоров Ж.З.', 'Севастополь', 'Степанова Х.Р.')
('Соколов Ч.Я.', 'Фёдорова Е.К.', 'Севастополь', 'Степанова Х.Р.')
('Богданов Д.Я.', 'Кузнецов О.Ж.', 'Омск', 'Николаева Ц.Ф.')
('Лебедев О.П.', 'Попов Б.Ш.', 'Ялта', 'Васильева К.И.')
('Николаев П.Ф.', 'Иванов Б.Ш.', 'Архангельск', 'Степанова Х.Р.')
('Николаев П.Ф.', 'Смирнов Х.Ю.', 'Архангельск', 'Степанова Х.Р.')
('Николаев П.Ф.', 'Яковлева Э.Г.', 'Архангельск', 'Степанова Х.Р.')
('Григорьев Щ.Ц.', 'Егорова Р.Ш.', 'Москва', 'Егоров Л.Б.')
('Григорьева К.Щ.', 'Николаева Ш.Б.', 'Ялта', 'Александрова П.П.')
('Васильева Н.П.', 'Смирнов Г.Д.', 'Ижевск', 'Степанова Х.Р.')
('Кузнецов Э.Э.', 'Андреева И.Э.', 'Архангельск', 'Соловьёв Ц.П.')
('Соколова П.Р.', 'Павлов О.Ц.', 'Сочи', 'Григорьева Б.С.')
('Андреева П.Э.', 'Иванов Т.В.', 'Санкт-Петербург', 'Васильева К.И.')
('Андреева П.Э.', 'Петрова Ю.Ж.', 'Санкт-Петербург', 'Васильева К.И.')
('Павлова З.Ч.', 'Григорьева Ц.Д.', 'Москва', 'Семёнова Ч.Э.')
('Никитин Г.Л.', 'Васильева П.В.', 'Омск', 'Александрова П.П.')
('Никитин Г.Л.', 'Никитин Х.Б.', 'Омск', 'Александрова П.П.')
('Яковлева С.Д.', 'Егоров О.Я.', 'Ялта', 'Яковлев Ю.А.')
('Яковлева С.Д.', 'Никитина В.Ч.', 'Ялта', 'Яковлев Ю.А.')
('Александров П.В.', 'Степанов К.Н.', 'Ярославль', 'Алексеева В.Ш.')
('Семёнов И.Ц.', 'Лебедев В.Р.', 'Омск', 'Алексеев Х.В.')
('Иванова З.Э.', 'Александрова Б.Ф.', 'Архангельск', 'Александров Щ.Ю.')
('Иванова З.Э.', 'Григорьев О.К.', 'Архангельск', 'Александров Щ.Ю.')
('Семёнов Н.Я.', 'Алексеев М.С.', 'Ижевск', 'Николаева Щ.Э.')
('Семёнов Н.Я.', 'Лебедева Ч.Д.', 'Ижевск', 'Николаева Щ.Э.')
('Александров К.Т.', 'Никитин Ж.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Александров К.Т.', 'Степанов Э.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Александров К.Т.', 'Яковлева Г.Ю.', 'Ялта', 'Лебедев Ч.Ж.')
('Петрова Л.Ю.', 'Кузнецова Ю.Д.', 'Санкт-Петербург', 'Александров Щ.Ю.')
('Богданова Э.Ж.', 'Лебедева О.Ц.', 'Ижевск', 'Николаева Ц.Ф.')
('Богданова Э.Ж.', 'Фёдорова М.Б.', 'Ижевск', 'Николаева Ц.Ф.')
('Александров У.Т.', 'Васильев Н.Б.', 'Севастополь', 'Николаева Ц.Ф.')
('Александров У.Т.', 'Степанов Б.Э.', 'Севастополь', 'Николаева Ц.Ф.')
('Алексеева Е.Х.', 'Попова А.Г.', 'Мурманск', 'Егоров Л.Б.')
('Алексеева Е.Х.', 'Яковлева З.Ц.', 'Мурманск', 'Егоров Л.Б.')
('Яковлева З.З.', 'Александров Ц.Ж.', 'Краснодар', 'Дмитриев Л.В.')
('Яковлева З.З.', 'Попова Я.З.', 'Краснодар', 'Дмитриев Л.В.')
('Никитин Х.Б.', 'Васильева П.В.', 'Омск', 'Александрова П.П.')
('Степанов Е.Х.', 'Дмитриева Т.Е.', 'Архангельск', 'Егорова Я.У.')
('Попов А.Д.', 'Андреева У.Ж.', 'Москва', 'Степанова Д.К.')
('Никитина К.Щ.', 'Смирнова Ц.Ф.', 'Ижевск', 'Павлов Ю.Ю.')
('Попова Х.Э.', 'Петрова Ш.Ю.', 'Севастополь', 'Павлов Ю.Ю.')
('Смирнова Ю.З.', 'Александров Ч.А.', 'Ижевск', 'Дмитриев Л.В.')
('Смирнова Ю.З.', 'Семёнов О.Р.', 'Ижевск', 'Дмитриев Л.В.')
('Семёнов М.Ж.', 'Волкова Щ.Ч.', 'Ярославль', 'Васильева К.И.')
('Семёнов М.Ж.', 'Михайлова М.Х.', 'Ярославль', 'Васильева К.И.')
('Семёнов М.Ж.', 'Соколов Л.Г.', 'Ярославль', 'Васильева К.И.')
('Николаева Щ.Ф.', 'Степанова Б.З.', 'Мурманск', 'Степанова Х.Р.')
('Богданов Х.Х.', 'Фёдоров Ю.З.', 'Барнаул', 'Алексеев Х.В.')
('Петров З.З.', 'Яковлева Р.М.', 'Санкт-Петербург', 'Григорьева Б.С.')
('Смирнова Ш.Л.', 'Кузнецова Ф.Ш.', 'Омск', 'Егорова Я.У.')
('Смирнова Ш.Л.', 'Никитин М.И.', 'Омск', 'Егорова Я.У.')
('Лебедев М.Р.', 'Петрова А.Д.', 'Сочи', 'Николаева Ц.Ф.')
('Лебедев М.Р.', 'Попов Г.Х.', 'Сочи', 'Николаева Ц.Ф.')
('Егоров Ж.З.', 'Фёдорова Е.К.', 'Севастополь', 'Степанова Х.Р.')
('Павлов П.Т.', 'Григорьева Ч.Э.', 'Мурманск', 'Григорьева Б.С.')
('Лебедева Т.Е.', 'Соколов Ю.Я.', 'Барнаул', 'Яковлев Ю.А.')
('Лебедева Т.Е.', 'Соловьёв Х.Ч.', 'Барнаул', 'Яковлев Ю.А.')
('Кузнецова Ф.Ш.', 'Никитин М.И.', 'Омск', 'Егорова Я.У.')
('Кузнецова М.И.', 'Волкова Е.Н.', 'Архангельск', 'Николаева Щ.Э.')
('Кузнецова М.И.', 'Павлов О.Ш.', 'Архангельск', 'Николаева Щ.Э.')
('Фёдорова Щ.К.', 'Васильева Г.Л.', 'Москва', 'Соловьёв Ц.П.')
('Фёдорова Щ.К.', 'Смирнова З.П.', 'Москва', 'Соловьёв Ц.П.')
('Соловьёва Р.Ч.', 'Васильева С.Ц.', 'Мурманск', 'Васильева К.И.')
('Соловьёва Р.Ч.', 'Кузнецов С.Ю.', 'Мурманск', 'Васильева К.И.')
('Лебедева П.Х.', 'Петров Ф.Ш.', 'Ярославль', 'Яковлев Ю.А.')
('Лебедева П.Х.', 'Фёдорова Ю.Д.', 'Ярославль', 'Яковлев Ю.А.')
('Лебедева П.Х.', 'Яковлева Я.К.', 'Ярославль', 'Яковлев Ю.А.')
('Петрова Ю.Ж.', 'Иванов Т.В.', 'Санкт-Петербург', 'Васильева К.И.')
('Кузнецов С.Ю.', 'Васильева С.Ц.', 'Мурманск', 'Васильева К.И.')
('Соловьёва У.И.', 'Соколова М.Э.', 'Архангельск', 'Лебедев Ч.Ж.')
