('Павлов Л.Р.', 'Семёнова Ч.Э.', 707, '2020-1-21')
('Иванова Л.Э.', 'Соловьёв Ц.П.', 931, '2020-12-3')
('Кузнецова Щ.К.', 'Михайлова Р.А.', 910, '2020-12-15')
('Соколова Е.У.', 'Степанова Х.Р.', 955, '2020-12-7')
('Васильева М.Ц.', 'Дмитриев Л.В.', 170, '2020-3-3')
('Семёнов У.А.', 'Яковлев Щ.Р.', 960, '2020-3-1')
('Александров У.Х.', 'Николаева Ц.Ф.', 965, '2020-6-23')
('Егорова Т.Ф.', 'Алексеев Х.В.', 188, '2020-9-9')
('Волкова К.Ж.', 'Алексеев Х.В.', 331, '2020-4-26')
('Волков Ж.Б.', 'Соловьёв Ц.П.', 93, '2020-6-2')
('Александров Х.В.', 'Николаева Ц.Ф.', 881, '2020-9-27')
('Смирнов З.Ц.', 'Егорова Я.У.', 512, '2020-10-11')
('Семёнов Л.И.', 'Егоров Л.Б.', 560, '2020-4-1')
('Кузнецова П.Я.', 'Михайлова Р.А.', 636, '2020-5-5')
('Васильев Е.З.', 'Васильева К.И.', 966, '2020-3-26')
('Степанова Э.Р.', 'Яковлев Щ.Р.', 780, '2020-7-2')
('Волкова Ф.Ш.', 'Александрова П.П.', 111, '2020-8-24')
('Михайлов Ф.И.', 'Григорьева Б.С.', 670, '2020-6-7')
('Алексеева С.Ю.', 'Михайлова Р.А.', 390, '2020-4-23')
('Соколов З.Ю.', 'Степанова Д.К.', 978, '2020-12-22')
('Смирнова Ю.Ч.', 'Яковлев Щ.Р.', 357, '2020-9-2')
('Кузнецова И.Т.', 'Соловьёв Ц.П.', 487, '2020-5-26')
('Андреева Э.П.', 'Егоров Л.Б.', 335, '2020-6-29')
('Александров У.Х.', 'Михайлова Р.А.', 738, '2020-8-27')
('Соколова Щ.А.', 'Николаева Щ.Э.', 179, '2020-12-12')
('Соколов З.Ю.', 'Егорова Я.У.', 941, '2020-7-23')
('Егорова Т.Ф.', 'Яковлев Щ.Р.', 587, '2020-9-2')
('Андреева Ц.В.', 'Николаева Щ.Э.', 793, '2020-2-26')
('Соловьёва П.З.', 'Николаева Ц.Ф.', 356, '2020-11-21')
('Михайлова Е.Б.', 'Яковлев Щ.Р.', 482, '2020-8-26')
('Андреев Ж.С.', 'Яковлев Ю.А.', 726, '2020-5-6')
('Кузнецов Т.Д.', 'Алексеев Х.В.', 438, '2020-8-14')
('Михайлов Ф.И.', 'Николаева Щ.Э.', 953, '2020-2-19')
('Яковлев Э.М.', 'Соловьёв Ц.П.', 735, '2020-1-8')
('Соколова Ч.Б.', 'Алексеева В.Ш.', 646, '2020-11-24')
('Степанов Ж.Я.', 'Степанова Х.Р.', 258, '2020-6-25')
('Андреева Ц.В.', 'Павлов Ю.Ю.', 145, '2020-6-11')
('Андреев Ж.С.', 'Григорьева Б.С.', 85, '2020-7-28')
('Алексеева К.Ч.', 'Павлов Ю.Ю.', 839, '2020-12-28')
('Соколова Ф.Х.', None, 737, '2020-7-12')
('Смирнова Ю.Ч.', 'Николаева Ц.Ф.', 305, '2020-7-16')
('Павлов Л.Р.', 'Соловьёв Ц.П.', 674, '2020-5-6')
('Кузнецова П.Я.', 'Лебедев Ч.Ж.', 724, '2020-1-1')
('Васильев Е.З.', 'Николаева Ц.Ф.', 694, '2020-10-8')
('Васильева М.Ц.', 'Яковлев Щ.Р.', 354, '2020-12-10')
('Лебедев П.Д.', None, 404, '2020-2-20')
('Алексеева Д.З.', 'Дмитриев Л.В.', 908, '2020-12-18')
('Иванов В.Р.', 'Дмитриев Л.В.', 67, '2020-6-16')
('Егорова Т.Ф.', 'Васильева К.И.', 263, '2020-4-24')
('Павлов Я.Т.', 'Лебедев Ч.Ж.', 938, '2020-3-13')
('Иванова Ж.У.', 'Васильева К.И.', 347, '2020-2-12')
('Иванов В.Р.', 'Алексеева В.Ш.', 768, '2020-10-20')
('Богданова И.Ж.', 'Соловьёв Ц.П.', 795, '2020-4-26')
('Богданова Б.В.', 'Михайлова Р.А.', 57, '2020-8-6')
('Александров Э.А.', 'Алексеев Х.В.', 280, '2020-1-5')
('Васильев Н.Ю.', 'Александрова П.П.', 256, '2020-7-29')
('Григорьева У.Т.', 'Степанова Д.К.', 389, '2020-2-23')
('Григорьев Л.Ж.', 'Егоров Л.Б.', 194, '2020-10-11')
('Соколова Щ.А.', 'Соловьёв Ц.П.', 235, '2020-8-20')
('Фёдоров Щ.Б.', None, 512, '2020-3-1')
('Смирнов С.Щ.', None, 749, '2020-4-1')
('Дмитриев Щ.В.', 'Семёнова Ч.Э.', 639, '2020-5-8')
('Николаев Ш.А.', 'Степанова Д.К.', 629, '2020-7-6')
('Егорова Т.Ф.', None, 528, '2020-11-13')
('Соколова Ф.Х.', 'Михайлова Р.А.', 673, '2020-5-16')
('Степанов Ж.Я.', 'Семёнова Ч.Э.', 562, '2020-8-27')
('Иванова Л.Э.', 'Александров Щ.Ю.', 505, '2020-1-22')
('Яковлев Е.Д.', 'Яковлев Щ.Р.', 908, '2020-6-17')
('Павлов Я.Т.', 'Яковлев Ю.А.', 369, '2020-11-21')
('Степанова Е.Ж.', 'Григорьева Б.С.', 537, '2020-7-24')
('Иванов В.Р.', 'Егоров Л.Б.', 992, '2020-3-28')
('Соколова Е.У.', 'Александров Щ.Ю.', 540, '2020-5-1')
('Волкова Ф.Ш.', 'Семёнова Ч.Э.', 242, '2020-8-10')
('Григорьева Э.Ж.', 'Яковлев Ю.А.', 115, '2020-11-20')
('Григорьева Э.Ж.', 'Егорова Я.У.', 989, '2020-10-23')
('Алексеева С.Ю.', 'Николаева Ц.Ф.', 400, '2020-5-16')
('Александров Ц.А.', 'Яковлев Щ.Р.', 848, '2020-8-16')
('Александров Ц.А.', 'Александрова П.П.', 205, '2020-2-14')
('Егоров З.И.', 'Семёнова Ч.Э.', 689, '2020-10-23')
('Андреев И.С.', 'Николаева Ц.Ф.', 886, '2020-8-24')
('Алексеева С.Ю.', 'Степанова Х.Р.', 219, '2020-3-26')
('Николаев Л.И.', 'Лебедев Ч.Ж.', 952, '2020-4-24')
('Степанова Г.И.', 'Алексеев Х.В.', 530, '2020-2-25')
('Михайлова Э.С.', 'Яковлев Щ.Р.', 372, '2020-9-8')
('Андреев Ж.С.', 'Степанова Д.К.', 919, '2020-12-11')
('Смирнов З.Ц.', 'Алексеев Х.В.', 92, '2020-11-5')
('Кузнецова Ч.Х.', 'Семёнова Ч.Э.', 890, '2020-2-15')
('Кузнецова И.Т.', 'Степанова Х.Р.', 614, '2020-8-4')
('Семёнов Л.И.', 'Дмитриев Л.В.', 856, '2020-9-21')
('Соколов У.Ф.', 'Яковлев Щ.Р.', 539, '2020-12-14')
('Волков Ж.Б.', 'Михайлова Р.А.', 168, '2020-9-26')
('Соколова Ф.Х.', 'Егоров Л.Б.', 761, '2020-1-24')
('Степанов Л.З.', 'Николаева Ц.Ф.', 58, '2020-6-23')
('Степанов О.К.', 'Александров Щ.Ю.', 535, '2020-7-11')
('Павлова Ж.Ж.', 'Семёнова Ч.Э.', 219, '2020-10-19')
('Богданова И.Ж.', 'Семёнова Ч.Э.', 994, '2020-11-9')
('Дмитриев Щ.В.', 'Дмитриев Л.В.', 177, '2020-10-3')
('Кузнецов Т.Д.', 'Михайлова Р.А.', 172, '2020-10-2')
('Степанова Г.И.', 'Александров Щ.Ю.', 14, '2020-4-13')
('Соколов А.Д.', None, 765, '2020-1-18')
('Попов С.А.', 'Васильева К.И.', 362, '2020-5-11')
('Кузнецова Ч.Х.', 'Егоров Л.Б.', 131, '2020-12-1')
('Семёнова Ш.И.', 'Степанова Д.К.', 124, '2020-11-18')
('Петрова З.В.', 'Лебедев Ч.Ж.', 80, '2020-9-14')
('Григорьева З.В.', 'Лебедев Ч.Ж.', 805, '2020-12-21')
('Никитина Н.К.', 'Яковлев Щ.Р.', 879, '2020-4-4')
('Попов К.А.', 'Александров Щ.Ю.', 440, '2020-9-13')
('Григорьева У.Т.', 'Соловьёв Ц.П.', 775, '2020-10-10')
('Николаева Р.Ц.', 'Алексеев Х.В.', 737, '2020-2-16')
('Иванова Ж.У.', 'Егоров Л.Б.', 994, '2020-1-4')
('Иванов В.Р.', 'Егорова Я.У.', 427, '2020-7-18')
('Смирнов З.Ц.', 'Яковлев Ю.А.', 465, '2020-3-4')
('Лебедев П.У.', 'Алексеев Х.В.', 304, '2020-9-4')
('Богданов У.М.', 'Егоров Л.Б.', 330, '2020-11-4')
('Яковлев Е.Д.', None, 171, '2020-1-19')
('Кузнецова П.Я.', 'Лебедев Ч.Ж.', 270, '2020-9-15')
('Павлова М.З.', 'Александрова П.П.', 468, '2020-8-15')
('Павлов Д.Х.', 'Александрова П.П.', 762, '2020-8-29')
('Андреева Э.П.', 'Степанова Х.Р.', 793, '2020-2-27')
('Александров У.Х.', 'Егорова Я.У.', 55, '2020-7-30')
('Соколова Ч.Б.', 'Николаева Ц.Ф.', 862, '2020-12-18')
('Алексеева Д.З.', 'Соловьёв Ц.П.', 387, '2020-9-2')
('Богданова Б.В.', 'Дмитриев Л.В.', 469, '2020-10-9')
('Смирнов А.Я.', 'Дмитриев Л.В.', 319, '2020-5-2')
('Николаева Д.В.', 'Павлов Ю.Ю.', 736, '2020-10-14')
('Павлов Л.Р.', 'Григорьева Б.С.', 859, '2020-5-6')
('Кузнецов Т.Д.', 'Александрова П.П.', 219, '2020-5-2')
('Григорьева Э.Ж.', 'Григорьева Б.С.', 96, '2020-12-13')
('Григорьева У.Т.', 'Степанова Д.К.', 513, '2020-12-8')
('Попов С.А.', 'Николаева Щ.Э.', 307, '2020-2-27')
('Андреева Ц.В.', 'Александрова П.П.', 641, '2020-10-1')
('Волкова Ф.Ш.', 'Степанова Д.К.', 843, '2020-1-22')
('Волкова Ф.Ш.', 'Степанова Д.К.', 56, '2020-8-10')
('Александров А.К.', 'Лебедев Ч.Ж.', 422, '2020-10-17')
('Яковлев Б.Р.', None, 137, '2020-8-2')
('Григорьева З.В.', 'Александров Щ.Ю.', 584, '2020-8-29')
('Дмитриева Л.Ч.', 'Васильева К.И.', 868, '2020-12-9')
('Павлов Л.Р.', None, 191, '2020-11-3')
('Яковлева Л.П.', 'Павлов Ю.Ю.', 817, '2020-2-29')
('Александрова Ю.Б.', 'Егорова Я.У.', 906, '2020-2-1')
('Михайлова Э.С.', 'Егорова Я.У.', 904, '2020-6-8')
('Кузнецова П.Я.', 'Павлов Ю.Ю.', 646, '2020-5-1')
('Григорьева Я.Г.', 'Алексеева В.Ш.', 400, '2020-1-19')
('Петрова З.В.', 'Васильева К.И.', 236, '2020-3-11')
('Александров Ц.А.', 'Степанова Д.К.', 330, '2020-4-30')
('Смирнов А.Я.', 'Дмитриев Л.В.', 479, '2020-12-11')
('Алексеева С.Ю.', 'Павлов Ю.Ю.', 280, '2020-4-17')
('Фёдоров Щ.Б.', 'Николаева Щ.Э.', 963, '2020-1-13')
('Михайлова Э.С.', 'Николаева Щ.Э.', 230, '2020-2-20')
('Смирнов Т.Т.', 'Яковлев Щ.Р.', 446, '2020-2-19')
('Александров А.К.', 'Алексеев Х.В.', 791, '2020-9-17')
('Лебедев П.У.', 'Алексеева В.Ш.', 727, '2020-2-27')
('Соколов З.Ю.', 'Николаева Ц.Ф.', 595, '2020-1-2')
('Лебедев П.Д.', 'Дмитриев Л.В.', 814, '2020-12-28')
('Алексеева С.Ю.', 'Григорьева Б.С.', 252, '2020-10-13')
('Степанова Э.Р.', 'Яковлев Ю.А.', 950, '2020-10-9')
('Михайлова Е.Б.', 'Соловьёв Ц.П.', 919, '2020-8-20')
('Кузнецов Т.Д.', 'Григорьева Б.С.', 700, '2020-11-10')
('Григорьева У.Т.', 'Егоров Л.Б.', 296, '2020-7-23')
('Соколова Ф.Х.', 'Степанова Д.К.', 291, '2020-5-28')
('Яковлев Э.М.', None, 181, '2020-9-14')
('Лебедев Х.Е.', 'Егорова Я.У.', 372, '2020-4-11')
('Соловьёв Т.Т.', 'Соловьёв Ц.П.', 724, '2020-12-26')
('Степанов Ж.Я.', 'Степанова Д.К.', 267, '2020-7-12')
('Богданова Б.В.', 'Александрова П.П.', 241, '2020-10-28')
('Кузнецова П.Я.', 'Павлов Ю.Ю.', 61, '2020-3-27')
('Михайлова Э.С.', 'Васильева К.И.', 425, '2020-12-29')
('Николаев Ш.А.', 'Яковлев Щ.Р.', 835, '2020-2-15')
('Дмитриев Щ.В.', 'Николаева Ц.Ф.', 938, '2020-1-22')
('Волкова Ф.Ш.', 'Михайлова Р.А.', 935, '2020-2-19')
('Михайлова Э.С.', 'Яковлев Ю.А.', 229, '2020-8-6')
('Григорьева У.Т.', 'Павлов Ю.Ю.', 656, '2020-11-22')
('Александров Ц.А.', 'Соловьёв Ц.П.', 975, '2020-10-23')
('Яковлев Н.К.', None, 387, '2020-2-4')
('Лебедев Х.Е.', 'Павлов Ю.Ю.', 260, '2020-12-3')
('Кузнецова И.Т.', 'Лебедев Ч.Ж.', 293, '2020-11-5')
('Смирнова Ю.Ч.', 'Павлов Ю.Ю.', 319, '2020-1-8')
('Степанова Э.Р.', None, 446, '2020-6-30')
('Лебедева У.Л.', 'Павлов Ю.Ю.', 250, '2020-11-11')
('Яковлев Е.Д.', 'Александрова П.П.', 400, '2020-2-5')
('Павлов Д.Х.', 'Александров Щ.Ю.', 161, '2020-2-2')
('Васильева М.Ц.', 'Лебедев Ч.Ж.', 482, '2020-9-8')
('Александров А.К.', 'Дмитриев Л.В.', 793, '2020-7-28')
('Богданов У.М.', 'Лебедев Ч.Ж.', 940, '2020-9-30')
('Степанов Ж.Я.', 'Яковлев Щ.Р.', 181, '2020-4-23')
('Кузнецова И.Т.', 'Павлов Ю.Ю.', 100, '2020-10-14')
('Смирнов Т.Т.', 'Егорова Я.У.', 492, '2020-7-3')
('Петрова Ч.З.', 'Алексеев Х.В.', 445, '2020-4-4')
('Лебедев П.У.', 'Васильева К.И.', 88, '2020-8-9')
('Соколов Р.Ш.', 'Степанова Х.Р.', 360, '2020-6-14')
('Андреев И.С.', 'Михайлова Р.А.', 932, '2020-11-4')
('Александров Ц.А.', 'Соловьёв Ц.П.', 868, '2020-9-10')
('Никитина Ч.Ф.', 'Васильева К.И.', 803, '2020-5-18')
('Смирнов А.Я.', 'Яковлев Ю.А.', 761, '2020-5-13')
('Соколова Е.У.', 'Семёнова Ч.Э.', 717, '2020-6-10')
('Соколова Ч.Б.', 'Егорова Я.У.', 103, '2020-7-21')
('Кузнецова И.Т.', 'Яковлев Ю.А.', 594, '2020-5-18')
('Волкова К.Ж.', 'Алексеева В.Ш.', 325, '2020-5-28')
('Николаев Т.Б.', 'Алексеев Х.В.', 904, '2020-3-23')
('Кузнецова Щ.К.', 'Степанова Д.К.', 830, '2020-10-25')
('Кузнецова П.Я.', 'Васильева К.И.', 411, '2020-11-3')
('Кузнецов Т.Д.', 'Лебедев Ч.Ж.', 612, '2020-6-11')
('Павлов Д.Х.', 'Дмитриев Л.В.', 423, '2020-1-30')
('Яковлев Э.М.', 'Яковлев Ю.А.', 254, '2020-4-2')
('Соловьёва П.З.', 'Яковлев Щ.Р.', 488, '2020-6-23')
('Васильева М.Ц.', 'Яковлев Ю.А.', 999, '2020-8-1')
('Яковлев Б.Р.', 'Михайлова Р.А.', 626, '2020-3-24')
('Смирнов С.Щ.', 'Дмитриев Л.В.', 956, '2020-5-9')
('Богданова Б.В.', 'Дмитриев Л.В.', 805, '2020-10-8')
('Васильев Е.З.', 'Михайлова Р.А.', 308, '2020-1-27')
('Волкова К.Ж.', 'Семёнова Ч.Э.', 772, '2020-6-3')
('Григорьева У.Т.', 'Григорьева Б.С.', 704, '2020-3-29')
('Соловьёв Т.Т.', 'Егоров Л.Б.', 869, '2020-12-10')
('Соколов З.Ю.', 'Егорова Я.У.', 321, '2020-9-20')
('Дмитриева Л.Ч.', 'Алексеев Х.В.', 145, '2020-4-18')
('Васильев Н.Ю.', 'Александров Щ.Ю.', 835, '2020-1-7')
('Соколов З.Ю.', 'Алексеев Х.В.', 952, '2020-2-2')
('Петрова Ч.З.', 'Яковлев Ю.А.', 853, '2020-7-5')
('Михайлова Е.Б.', 'Александрова П.П.', 581, '2020-7-25')
('Яковлев Е.Д.', 'Яковлев Щ.Р.', 523, '2020-4-21')
('Богданова И.Ж.', None, 422, '2020-9-1')
('Васильев Е.З.', 'Семёнова Ч.Э.', 802, '2020-1-15')
('Степанов Л.З.', 'Алексеев Х.В.', 439, '2020-10-8')
('Богданов У.М.', 'Семёнова Ч.Э.', 594, '2020-4-16')
('Кузнецова И.Т.', 'Соловьёв Ц.П.', 453, '2020-6-5')
('Степанов Л.З.', 'Васильева К.И.', 157, '2020-5-6')
('Соколова Е.У.', 'Михайлова Р.А.', 551, '2020-8-14')
('Богданова И.Ж.', 'Лебедев Ч.Ж.', 751, '2020-8-20')
('Кузнецова П.Я.', 'Александрова П.П.', 966, '2020-9-8')
('Соколов Р.Ш.', 'Васильева К.И.', 958, '2020-8-14')
('Яковлева Л.П.', 'Алексеева В.Ш.', 60, '2020-11-26')
('Андреев И.С.', 'Егорова Я.У.', 204, '2020-9-21')
('Никитина Н.К.', 'Семёнова Ч.Э.', 417, '2020-11-19')
('Степанова Е.Ж.', 'Егорова Я.У.', 502, '2020-4-21')
('Богданова И.Ж.', None, 437, '2020-10-17')
('Михайлова Э.С.', 'Егоров Л.Б.', 949, '2020-8-12')
('Богданова И.Ж.', 'Яковлев Щ.Р.', 418, '2020-3-13')
('Волков Ж.Б.', 'Александрова П.П.', 77, '2020-7-11')
('Григорьева У.Т.', 'Александрова П.П.', 765, '2020-12-5')
('Егоров З.И.', None, 274, '2020-8-27')
('Павлов Л.Р.', 'Егорова Я.У.', 419, '2020-6-27')
('Дмитриева Л.Ч.', 'Алексеева В.Ш.', 306, '2020-12-3')
('Николаева Д.В.', 'Александрова П.П.', 891, '2020-5-5')
('Александров Ц.А.', 'Александров Щ.Ю.', 722, '2020-6-17')
('Дмитриева Ф.Ш.', 'Степанова Х.Р.', 169, '2020-3-9')
('Степанов Л.З.', 'Егоров Л.Б.', 588, '2020-4-16')
('Павлов Я.Т.', 'Соловьёв Ц.П.', 100, '2020-6-12')
('Павлова М.З.', 'Дмитриев Л.В.', 869, '2020-2-14')
('Смирнов О.Я.', 'Александрова П.П.', 334, '2020-9-10')
('Соколова Ч.Б.', 'Николаева Щ.Э.', 369, '2020-2-24')
('Михайлова Э.С.', 'Алексеев Х.В.', 375, '2020-11-15')
('Иванова Ж.У.', 'Егорова Я.У.', 925, '2020-5-18')
('Попов С.А.', None, 861, '2020-3-7')
('Смирнов Т.Т.', 'Егорова Я.У.', 539, '2020-4-10')
('Александров Э.А.', 'Лебедев Ч.Ж.', 732, '2020-12-16')
('Смирнова Ю.Ч.', 'Николаева Ц.Ф.', 28, '2020-3-25')
('Лебедева У.Л.', 'Алексеева В.Ш.', 288, '2020-4-2')
('Александров Э.А.', 'Егоров Л.Б.', 257, '2020-10-2')
('Яковлева Л.П.', 'Алексеева В.Ш.', 334, '2020-4-12')
('Андреев И.С.', 'Дмитриев Л.В.', 452, '2020-6-14')
('Васильев Е.У.', 'Алексеев Х.В.', 300, '2020-12-20')
('Соловьёв Т.Т.', 'Семёнова Ч.Э.', 850, '2020-7-17')
('Павлов Д.Х.', 'Лебедев Ч.Ж.', 221, '2020-9-26')
('Соколова Ф.Х.', 'Семёнова Ч.Э.', 593, '2020-2-14')
('Дмитриева Л.Ч.', 'Васильева К.И.', 288, '2020-6-11')
('Павлов Я.Т.', 'Павлов Ю.Ю.', 245, '2020-4-4')
('Никитина Н.К.', 'Васильева К.И.', 410, '2020-4-19')
('Андреева Э.П.', 'Александров Щ.Ю.', 663, '2020-11-27')
('Александров А.К.', 'Соловьёв Ц.П.', 556, '2020-4-16')
('Васильева М.Ц.', 'Павлов Ю.Ю.', 474, '2020-2-14')
('Михайлов Ф.И.', 'Лебедев Ч.Ж.', 696, '2020-3-24')
('Алексеева К.Ч.', 'Степанова Д.К.', 747, '2020-2-6')
('Яковлев Б.Р.', 'Дмитриев Л.В.', 650, '2020-2-20')
('Егорова Т.Ф.', 'Николаева Ц.Ф.', 718, '2020-8-16')
('Степанова Г.И.', 'Александров Щ.Ю.', 522, '2020-4-13')
('Яковлев Н.К.', 'Яковлев Ю.А.', 154, '2020-8-4')
('Смирнов А.Я.', 'Николаева Ц.Ф.', 332, '2020-6-27')
('Попов С.А.', 'Алексеева В.Ш.', 788, '2020-5-23')
('Павлов Л.Р.', 'Михайлова Р.А.', 34, '2020-3-5')
('Богданова И.Ж.', 'Николаева Ц.Ф.', 582, '2020-7-24')
('Егоров З.И.', 'Семёнова Ч.Э.', 951, '2020-5-12')
('Григорьева Я.Г.', 'Степанова Д.К.', 913, '2020-9-11')
('Кузнецов Т.Д.', 'Яковлев Щ.Р.', 445, '2020-1-17')
('Егорова Т.Ф.', 'Александрова П.П.', 97, '2020-11-27')
('Волков Ж.Б.', 'Яковлев Щ.Р.', 855, '2020-1-8')
('Смирнов З.Ц.', 'Степанова Д.К.', 972, '2020-2-23')
('Соколов Р.Ш.', 'Михайлова Р.А.', 784, '2020-4-18')
('Алексеева К.Ч.', 'Павлов Ю.Ю.', 125, '2020-11-24')
('Никитина Ч.Ф.', 'Егоров Л.Б.', 205, '2020-9-13')
('Павлов Д.Х.', 'Степанова Х.Р.', 462, '2020-5-21')
('Степанов Л.З.', 'Алексеева В.Ш.', 50, '2020-11-2')
('Волкова Ф.Ш.', 'Михайлова Р.А.', 1000, '2020-10-17')
('Волкова К.Ж.', 'Алексеева В.Ш.', 735, '2020-2-8')
('Соколов Р.Ш.', 'Яковлев Щ.Р.', 747, '2020-6-24')
('Семёнов У.А.', 'Семёнова Ч.Э.', 475, '2020-12-26')
('Николаев Т.Б.', 'Васильева К.И.', 461, '2020-10-9')
('Александров Э.А.', 'Алексеев Х.В.', 286, '2020-2-15')
('Николаева Р.Ц.', 'Алексеев Х.В.', 914, '2020-12-24')
('Николаева Д.В.', 'Степанова Д.К.', 785, '2020-10-29')
('Егорова Т.Ф.', 'Соловьёв Ц.П.', 979, '2020-9-24')
('Павлова М.З.', 'Егорова Я.У.', 603, '2020-1-29')
('Лебедев Ю.Н.', 'Яковлев Ю.А.', 273, '2020-6-22')
('Васильев Е.З.', 'Яковлев Щ.Р.', 798, '2020-8-23')
('Кузнецов Д.С.', 'Яковлев Ю.А.', 863, '2020-11-3')
('Кузнецов Т.Д.', 'Степанова Х.Р.', 250, '2020-7-2')
('Семёнов У.А.', 'Яковлев Щ.Р.', 640, '2020-5-11')
('Иванова Л.Э.', 'Павлов Ю.Ю.', 741, '2020-11-5')
('Александрова Ю.Б.', 'Павлов Ю.Ю.', 39, '2020-11-20')
('Егоров Д.Е.', 'Степанова Х.Р.', 125, '2020-7-4')
('Алексеева С.Ю.', 'Александрова П.П.', 753, '2020-1-11')
('Степанова Э.Р.', 'Соловьёв Ц.П.', 231, '2020-11-14')
('Соколова Ф.Х.', 'Егоров Л.Б.', 237, '2020-6-2')
('Никитина Ч.Ф.', 'Дмитриев Л.В.', 169, '2020-9-24')
('Иванов В.Р.', 'Егоров Л.Б.', 17, '2020-11-24')
('Кузнецов Д.С.', 'Григорьева Б.С.', 346, '2020-6-18')
('Петрова Ч.З.', 'Лебедев Ч.Ж.', 661, '2020-3-30')
('Степанов Л.З.', 'Яковлев Щ.Р.', 199, '2020-3-6')
